Subject,Grade,QuestionText,Description,questionType,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Science,Grade 7,Describe the rock cycle. How do igneous sedimentary and metamorphic rocks form?,Rock cycle.,ShortAnswer,295,2,MS-ESS2-1,Rock cycle,NGSS.SEP.6, NGSS.DCI.ESS2
Science,Grade 7,What is the difference between weather and climate? What factors affect each?,Weather and climate.,ShortAnswer,272,2,MS-ESS2-5,Climate,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 7,How do fossils provide evidence for past life and environmental change?,Fossils as evidence.,ShortAnswer,298,2,MS-LS4-1,Fossils,NGSS.SEP.7, NGSS.DCI.LS4
Science,Grade 8,What is the difference between a physical and chemical change at the particle level?,Particle model.,ShortAnswer,308,2,MS-PS1-1,Matter,NGSS.SEP.2, NGSS.DCI.PS1
Science,Grade 8,State Newton's three laws of motion. Give an example that illustrates each law.,Newton's laws.,ShortAnswer,312,2,MS-PS2-1,Forces,NGSS.SEP.6, NGSS.DCI.PS2
Science,Grade 8,How do human activities affect the environment? Give two positive and two negative effects.,Human impact.,ShortAnswer,315,2,MS-ESS3-3,Human impact,NGSS.SEP.7, NGSS.DCI.ESS3
Science,Grade 8,Explain how DNA bases pair. What is the role of DNA in heredity?,DNA.,ShortAnswer,318,2,MS-LS3-1,Genetics,NGSS.SEP.2, NGSS.DCI.LS3
Science,Grade 8,Describe the carbon cycle. How do photosynthesis respiration and decomposition play a role?,Carbon cycle.,ShortAnswer,320,2,MS-LS2-3,Biogeochemical cycles,NGSS.SEP.4, NGSS.DCI.LS2
Science,Grade 8,What threatens biodiversity? What can we do to protect it?,Biodiversity.,ShortAnswer,322,2,MS-LS2-4,Biodiversity,NGSS.SEP.6, NGSS.DCI.LS2
Science,Grade 8,What is the difference between electromagnetic waves and mechanical waves? Give an example of each.,Wave types.,ShortAnswer,305,2,MS-PS4-1,Waves,NGSS.SEP.2, NGSS.DCI.PS4
Science,Grade 8,Explain how the tilt of Earth's axis causes seasons.,Seasons.,ShortAnswer,310,2,MS-ESS1-1,Earth and space,NGSS.SEP.4, NGSS.DCI.ESS1
Science,Grade 8,Describe the steps in the engineering design process. Why is iteration important?,Engineering design.,ShortAnswer,325,2,MS-ETS1-1,Engineering,NGSS.SEP.1, NGSS.DCI.ETS1
Science,Grade 8,What is the law of conservation of energy? Give an example.,Conservation of energy.,ShortAnswer,315,2,MS-PS3-5,Energy,NGSS.SEP.5, NGSS.DCI.PS3
Science,Grade 9,Describe the structure of the periodic table. How are elements organized?,Periodic table.,ShortAnswer,332,2,HS-PS1-1,Chemistry,NGSS.SEP.2, NGSS.DCI.PS1
Science,Grade 9,What is the difference between ionic and covalent bonding? Give an example of each.,Chemical bonding.,ShortAnswer,335,2,HS-PS1-2,Bonding,NGSS.SEP.2, NGSS.DCI.PS1
Science,Grade 9,Explain plate tectonics. What are the three types of plate boundaries and what happens at each?,Plate tectonics.,ShortAnswer,338,2,HS-ESS2-1,Earth science,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 9,Describe the flow of energy and matter in an ecosystem. How do producers consumers and decomposers interact?,Ecosystems.,ShortAnswer,340,2,HS-LS2-1,Ecosystems,NGSS.SEP.6, NGSS.DCI.LS2
Science,Grade 9,What causes climate change? Explain the role of greenhouse gases and human activities.,Climate change.,ShortAnswer,342,2,HS-ESS3-5,Climate,NGSS.SEP.7, NGSS.DCI.ESS3
Science,Grade 9,What is the difference between mitosis and meiosis? When does each occur?,Cell division.,ShortAnswer,345,2,HS-LS1-4,Cell division,NGSS.SEP.6, NGSS.DCI.LS1
Science,Grade 9,State the law of conservation of mass. How does it apply to chemical equations?,Conservation of mass.,ShortAnswer,328,2,HS-PS1-7,Chemistry,NGSS.SEP.5, NGSS.DCI.PS1
Science,Grade 9,What evidence supports the Big Bang theory? Describe at least two pieces of evidence.,Big Bang.,ShortAnswer,348,2,HS-ESS1-2,Cosmology,NGSS.SEP.4, NGSS.DCI.ESS1
Science,Grade 9,What is the difference between an acid and a base? What is pH?,Acids and bases.,ShortAnswer,330,2,HS-PS1-2,Chemistry,NGSS.SEP.2, NGSS.DCI.PS1
Science,Grade 9,What is the role of enzymes in chemical reactions? What affects their activity?,Enzymes.,ShortAnswer,335,2,HS-LS1-6,Biochemistry,NGSS.SEP.3, NGSS.DCI.LS1
Science,Grade 10,Describe the phases of the cell cycle. What happens in interphase and mitosis?,Cell cycle.,ShortAnswer,348,2,HS-LS1-4,Cell cycle,NGSS.SEP.2, NGSS.DCI.LS1
Science,Grade 10,State the first and second laws of thermodynamics. What do they mean?,Thermodynamics.,ShortAnswer,350,2,HS-PS3-1,Thermodynamics,NGSS.SEP.6, NGSS.DCI.PS3
Science,Grade 10,What is the difference between predation symbiosis and competition? Give an example of each.,Ecological relationships.,ShortAnswer,352,2,HS-LS2-6,Ecology,NGSS.SEP.4, NGSS.DCI.LS2
Science,Grade 10,Describe alpha beta and gamma radiation. How do they differ in penetrating power?,Radiation.,ShortAnswer,350,2,HS-PS1-8,Nuclear,NGSS.SEP.2, NGSS.DCI.PS1
Science,Grade 10,What evidence supports evolution? Describe fossil anatomical and molecular evidence.,Evolution evidence.,ShortAnswer,345,2,HS-LS4-1,Evolution,NGSS.SEP.7, NGSS.DCI.LS4
Science,Grade 10,What factors affect enzyme activity? How do temperature and pH affect enzyme function?,Enzymes.,ShortAnswer,342,2,HS-LS1-6,Biochemistry,NGSS.SEP.3, NGSS.DCI.LS1
Science,Grade 10,Describe the four Earth systems: geosphere hydrosphere biosphere atmosphere. How do they interact?,Earth systems.,ShortAnswer,338,2,HS-ESS2-4,Earth systems,NGSS.SEP.2, NGSS.DCI.ESS2
Science,Grade 10,What is the relationship between voltage current and resistance? State Ohm's law.,Electric circuits.,ShortAnswer,335,2,HS-PS2-5,Circuits,NGSS.SEP.5, NGSS.DCI.PS3
Science,Grade 10,Explain how natural selection leads to adaptation. Give an example.,Natural selection.,ShortAnswer,352,2,HS-LS4-4,Evolution,NGSS.SEP.7, NGSS.DCI.LS4
Science,Grade 10,What is the carbon cycle? How do human activities affect it?,Carbon cycle.,ShortAnswer,348,2,HS-LS2-3,Biogeochemical cycles,NGSS.SEP.4, NGSS.DCI.LS2
Science,Grade 11,Explain the concept of wave-particle duality. What does it mean for light and electrons?,Quantum.,ShortAnswer,350,2,HS-PS4-1,Quantum physics,NGSS.SEP.6, NGSS.DCI.PS4
Science,Grade 11,Describe the steps of cellular respiration. Where does each step occur?,Cellular respiration.,ShortAnswer,350,2,HS-LS1-7,Cellular respiration,NGSS.SEP.2, NGSS.DCI.LS1
Science,Grade 11,What are the four levels of protein structure? How do they relate to function?,Protein structure.,ShortAnswer,352,2,HS-LS1-1,Biochemistry,NGSS.SEP.4, NGSS.DCI.LS1
Science,Grade 11,Describe the nitrogen cycle. What roles do bacteria play?,Nitrogen cycle.,ShortAnswer,348,2,HS-LS2-3,Nitrogen cycle,NGSS.SEP.6, NGSS.DCI.LS2
Science,Grade 11,What is chemical equilibrium? What factors can shift the equilibrium?,Equilibrium.,ShortAnswer,350,2,HS-PS1-6,Chemistry,NGSS.SEP.3, NGSS.DCI.PS1
Science,Grade 11,Explain time dilation and length contraction in special relativity. When do they become significant?,Relativity.,ShortAnswer,350,2,HS-PS2-4,Physics,NGSS.SEP.7, NGSS.DCI.PS2
Science,Grade 11,What is CRISPR? How is it used in genetic engineering?,Genetic engineering.,ShortAnswer,348,2,HS-LS3-2,Genetics,NGSS.SEP.1, NGSS.DCI.LS3
Science,Grade 11,What are the components of a climate model? How do scientists validate predictions?,Climate models.,ShortAnswer,345,2,HS-ESS3-5,Climate,NGSS.SEP.5, NGSS.DCI.ESS3
Science,Grade 11,Describe thermohaline circulation and upwelling. How do they affect ocean life?,Ocean systems.,ShortAnswer,342,2,HS-ESS2-6,Oceanography,NGSS.SEP.4, NGSS.DCI.ESS2
Science,Grade 11,What is E=mc²? What does it tell us about mass and energy?,Relativity.,ShortAnswer,350,2,HS-PS2-4,Physics,NGSS.SEP.7, NGSS.DCI.PS2
Science,Grade 12,Describe the roles of T cells B cells and antibodies in the immune response.,Immune system.,ShortAnswer,348,2,HS-LS1-2,Immunology,NGSS.SEP.2, NGSS.DCI.LS1
Science,Grade 12,What are the impacts of climate change on sea level biodiversity and weather?,Climate impacts.,ShortAnswer,350,2,HS-ESS3-5,Climate,NGSS.SEP.7, NGSS.DCI.ESS3
Science,Grade 12,What is the difference between nuclear fission and fusion? Where does each occur?,Nuclear reactions.,ShortAnswer,352,2,HS-PS1-8,Nuclear physics,NGSS.SEP.6, NGSS.DCI.PS1
Science,Grade 12,Describe the carbon cycle and how human activities have altered it.,Carbon cycle.,ShortAnswer,345,2,HS-LS2-5,Biogeochemical cycles,NGSS.SEP.4, NGSS.DCI.LS2
Science,Grade 12,What are ecosystem services? Give three examples and explain their value.,Ecosystem services.,ShortAnswer,350,2,HS-LS2-7,Ecology,NGSS.SEP.8, NGSS.DCI.LS2
Science,Grade 12,What strategies can promote sustainability? Compare renewable energy conservation and restoration.,Sustainability.,ShortAnswer,350,2,HS-ESS3-4,Sustainability,NGSS.SEP.7, NGSS.DCI.ESS3
Science,Grade 12,Describe the biogeochemical cycles of carbon nitrogen and phosphorus. How do they differ?,Biogeochemical cycles.,ShortAnswer,348,2,HS-LS2-3,Biogeochemistry,NGSS.SEP.6, NGSS.DCI.LS2
Science,Grade 12,How do neurons communicate? What is the role of neurotransmitters?,Neuroscience.,ShortAnswer,350,2,HS-LS1-2,Nervous system,NGSS.SEP.2, NGSS.DCI.LS1
Science,Grade 12,Why are informed consent and peer review important in science? What is scientific ethics?,Science ethics.,ShortAnswer,352,3,HS-ETS1-1,Science ethics,NGSS.SEP.8, NGSS.DCI.ETS1
Science,Grade 12,What is the greenhouse effect? How does it relate to climate change and human activity?,Greenhouse effect.,ShortAnswer,350,2,HS-ESS3-5,Climate,NGSS.SEP.7, NGSS.DCI.ESS3
